Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
it,it,PP,
is,be,VBZ,
movies,movie,NNS,
like,like,IN,
these,these,DT,
that,that,WDT,
make,make,VBP,
a,a,DT,
jaded,jaded,JJ,
movie,movie,NN,
viewer,viewer,NN,
thankful,thankful,JJ,
for,for,IN,
the,the,DT,
invention,invention,NN,
of,of,IN,
the,the,DT,
timex,<unknown>,JJ,
indiglo,<unknown>,NN,
watch,watch,NN,
.,.,SENT,
based,base,VBN,
on,on,IN,
the,the,DT,
late,late,JJ,
1960,@card@,CD,
's,'s,POS,
television,television,NN,
show,show,NN,
by,by,IN,
the,the,DT,
same,same,JJ,
name,name,NN,
",",",",",",
the,the,DT,
mod,mod,JJ,
squad,squad,NN,
tells,tell,VBZ,
the,the,DT,
tale,tale,NN,
of,of,IN,
three,three,CD,
reformed,reform,VBN,
criminals,criminal,NNS,
under,under,IN,
the,the,DT,
employ,employ,NN,
of,of,IN,
the,the,DT,
police,police,NN,
to,to,TO,
go,go,VB,
undercover,undercover,JJ,
.,.,SENT,
however,however,RB,
",",",",",",
things,thing,NNS,
go,go,VBP,
wrong,wrong,JJ,
as,as,IN,
evidence,evidence,NN,
gets,get,VBZ,
stolen,steal,VBN,
and,and,CC,
they,they,PP,
are,be,VBP,
immediately,immediately,RB,
under,under,IN,
suspicion,suspicion,NN,
.,.,SENT,
of,of,IN,
course,course,NN,
",",",",",",
the,the,DT,
ads,ad,NNS,
make,make,VBP,
it,it,PP,
seem,seem,VBP,
like,like,IN,
so,so,RB,
much,much,RB,
more,more,RBR,
.,.,SENT,
quick,quick,JJ,
cuts,cut,NNS,
",",",",",",
cool,cool,JJ,
music,music,NN,
",",",",",",
claire,Claire,NP,
dane,Dane,NP,
's,'s,POS,
nice,nice,JJ,
hair,hair,NN,
and,and,CC,
cute,cute,JJ,
outfits,outfit,NNS,
",",",",",",
car,car,NN,
chases,chase,NNS,
",",",",",",
stuff,stuff,VBP,
blowing,blow,VBG,
up,up,RP,
",",",",",",
and,and,CC,
the,the,DT,
like,like,IN,
.,.,SENT,
sounds,sound,NNS,
like,like,IN,
a,a,DT,
cool,cool,JJ,
movie,movie,NN,
",",",",",",
does,do,VBZ,
it,it,PP,
not,not,RB,
?,?,SENT,
after,after,IN,
the,the,DT,
first,first,JJ,
fifteen,fifteen,CD,
minutes,minute,NNS,
",",",",",",
it,it,PP,
quickly,quickly,RB,
becomes,become,VBZ,
apparent,apparent,JJ,
that,that,IN,
it,it,PP,
is,be,VBZ,
not,not,RB,
.,.,SENT,
the,the,DT,
mod,mod,JJ,
squad,squad,NN,
is,be,VBZ,
certainly,certainly,RB,
a,a,DT,
slick,slick,JJ,
looking,look,VBG,
production,production,NN,
",",",",",",
complete,complete,JJ,
with,with,IN,
nice,nice,JJ,
hair,hair,NN,
and,and,CC,
costumes,costume,NNS,
",",",",",",
but,but,CC,
that,that,IN,
simply,simply,RB,
is,be,VBZ,
n't,n't,RB,
enough,enough,JJ,
.,.,SENT,
the,the,DT,
film,film,NN,
is,be,VBZ,
best,well,RBS,
described,describe,VBN,
as,as,IN,
a,a,DT,
cross,cross,NN,
between,between,IN,
an,an,DT,
hour-long,hour-long,JJ,
cop,cop,NN,
show,show,NN,
and,and,CC,
a,a,DT,
music,music,NN,
video,video,NN,
",",",",",",
both,both,CC,
stretched,stretch,VBD,
out,out,RP,
into,into,IN,
the,the,DT,
span,span,NN,
of,of,IN,
an,an,DT,
hour,hour,NN,
and,and,CC,
a,a,DT,
half,half,NN,
.,.,SENT,
and,and,CC,
with,with,IN,
it,it,PP,
comes,come,VBZ,
every,every,DT,
single,single,JJ,
clich,<unknown>,NN,
?,?,SENT,
.,.,SENT,
it,it,PP,
does,do,VBZ,
n't,n't,RB,
really,really,RB,
matter,matter,VB,
that,that,IN,
the,the,DT,
film,film,NN,
is,be,VBZ,
based,base,VBN,
on,on,IN,
a,a,DT,
television,television,NN,
show,show,NN,
",",",",",",
as,as,IN,
most,most,JJS,
of,of,IN,
the,the,DT,
plot,plot,NN,
elements,element,NNS,
have,have,VBP,
been,be,VBN,
recycled,recycle,VBN,
from,from,IN,
everything,everything,NN,
we,we,PP,
've,have,VBP,
already,already,RB,
seen,see,VBN,
.,.,SENT,
the,the,DT,
characters,character,NNS,
and,and,CC,
acting,acting,NN,
is,be,VBZ,
nothing,nothing,NN,
spectacular,spectacular,JJ,
",",",",",",
sometimes,sometimes,RB,
even,even,RB,
bordering,border,VBG,
on,on,IN,
wooden,wooden,JJ,
