Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
White,White,JJ,
guy,guy,NN,
:,:,:,
So,so,RB,
",",",",",",
do,do,VBP,
you,you,PP,
have,have,VBP,
any,any,DT,
plans,plan,NNS,
for,for,IN,
this,this,DT,
evening,evening,NN,
?,?,SENT,
Asian,Asian,JJ,
girl,girl,NN,
:,:,:,
Yeah,yeah,RB,
",",",",",",
being,be,VBG,
angry,angry,JJ,
!,!,SENT,
White,White,JJ,
guy,guy,NN,
:,:,:,
Oh,oh,UH,
",",",",",",
that,that,WDT,
sounds,sound,VBZ,
good,good,JJ,
.,.,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
So,so,RB,
this,this,DT,
Jack,Jack,NP,
guy,guy,NN,
is,be,VBZ,
basically,basically,RB,
the,the,DT,
luckiest,lucky,JJS,
man,man,NN,
in,in,IN,
the,the,DT,
world,world,NN,
.,.,SENT,
Guy,guy,NN,
#2,<unknown>,NN,
:,:,:,
Why,why,WRB,
",",",",",",
because,because,IN,
he,he,PP,
's,be,VBZ,
survived,survive,VBN,
like,like,IN,
5,@card@,CD,
attempts,attempt,NNS,
on,on,IN,
his,his,PP$,
life,life,NN,
and,and,CC,
it,it,PP,
's,be,VBZ,
not,not,RB,
even,even,RB,
noon,noon,NN,
?,?,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
No,no,RB,
;,;,:,
he,he,PP,
could,could,MD,
totally,totally,RB,
nail,nail,VB,
those,those,DT,
two,two,CD,
chicks,chick,NNS,
.,.,SENT,
Dad,Dad,NP,
:,:,:,
Could,could,MD,
you,you,PP,
tell,tell,VB,
me,me,PP,
where,where,WRB,
the,the,DT,
auditorium,auditorium,NN,
is,be,VBZ,
?,?,SENT,
Security,security,NN,
guy,guy,NN,
:,:,:,
It,it,PP,
's,be,VBZ,
on,on,IN,
the,the,DT,
second,second,JJ,
floor,floor,NN,
.,.,SENT,
Dad,dad,NN,
:,:,:,
Wait,wait,VB,
",",",",",",
you,you,PP,
mean,mean,VBP,
it,it,PP,
's,be,VBZ,
actually,actually,RB,
in,in,IN,
the,the,DT,
building,building,NN,
?,?,SENT,
Girl,girl,NN,
:,:,:,
But,but,CC,
",",",",",",
I,I,PP,
mean,mean,VBP,
",",",",",",
it,it,PP,
's,be,VBZ,
not,not,RB,
like,like,IN,
I,I,PP,
ever,ever,RB,
plan,plan,VBP,
on,on,IN,
giving,give,VBG,
birth,birth,NN,
.,.,SENT,
Guy,guy,NN,
:,:,:,
Well,well,RB,
",",",",",",
if,if,IN,
your,your,PP$,
mother,mother,NN,
gave,give,VBD,
birth,birth,NN,
",",",",",",
it,it,PP,
's,be,VBZ,
like,like,IN,
your,your,PP$,
chances,chance,NNS,
are,be,VBP,
good,good,JJ,
that,that,IN,
you,you,PP,
'll,will,MD,
give,give,VB,
birth,birth,NN,
too,too,RB,
.,.,SENT,
Girl,girl,NN,
:,:,:,
...,...,:,
Uh,uh,UH,
",",",",",",
dude,dude,NN,
",",",",",",
mother,mother,NN,
gave,give,VBD,
birth,birth,NN,
.,.,SENT,
Guy,guy,NN,
:,:,:,
Absolutely,absolutely,RB,
.,.,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
I,I,PP,
do,do,VBP,
n't,n't,RB,
mind,mind,VB,
getting,get,VBG,
old,old,JJ,
;,;,:,
I,I,PP,
love,love,VBP,
getting,get,VBG,
old,old,JJ,
.,.,SENT,
Guy,guy,NN,
#2,<unknown>,NN,
:,:,:,
Yeah,yeah,RB,
",",",",",",
just,just,RB,
as,as,RB,
long,long,JJ,
as,as,IN,
you,you,PP,
do,do,VBP,
n't,n't,RB,
get,get,VB,
pregnant,pregnant,JJ,
.,.,SENT,
Hobo,hobo,NN,
:,:,:,
Can,can,MD,
you,you,PP,
spare,spare,VB,
any,any,DT,
change,change,NN,
?,?,SENT,
Man,man,NN,
:,:,:,
Sorry,sorry,RB,
",",",",",",
no,no,UH,
.,.,SENT,
Hobo,hobo,NN,
:,:,:,
Who,who,WP,
the,the,DT,
hell,hell,NN,
you,you,PP,
saying,say,VBG,
no,no,RB,
to,to,TO,
?,?,SENT,
I,I,PP,
was,be,VBD,
n't,n't,RB,
asking,ask,VBG,
you,you,PP,
anyway,anyway,RB,
",",",",",",
asshole,asshole,NN,
!,!,SENT,
Hobo,hobo,NN,
:,:,:,
Excuse,excuse,VB,
me,me,PP,
",",",",",",
this,this,DT,
is,be,VBZ,
a,a,DT,
picture,picture,NN,
of,of,IN,
my,my,PP$,
daughter,daughter,NN,
Sofiya,<unknown>,NP,
",",",",",",
she,she,PP,
was,be,VBD,
in,in,IN,
a,a,DT,
fire,fire,NN,
recently,recently,RB,
and,and,CC,
now,now,RB,
she,she,PP,
is,be,VBZ,
brain,brain,NN,
damage,damage,NN,
can,can,MD,
you,you,PP,
spare,spare,VB,
some,some,DT,
change,change,NN,
so,so,RB,
that,that,IN,
we,we,PP,
can,can,MD,
give,give,VB,
her,her,PP,
a,a,DT,
proper,proper,JJ,
funeral,funeral,NN,
?,?,SENT,
Anything,anything,NN,
will,will,MD,
help,help,VB,
",",",",",",
even,even,RB,
a,a,DT,
penny,penny,NN,
.,.,SENT,
Man,man,NN,
:,:,:,
Wait,wait,VB,
a,a,DT,
minute,minute,NN,
!,!,SENT,
Is,be,VBZ,
this,this,DT,
the,the,DT,
same,same,JJ,
daughter,daughter,NN,
that,that,WDT,
was,be,VBD,
in,in,IN,
a,a,DT,
fire,fire,NN,
last,last,JJ,
summer,summer,NN,
?,?,SENT,
You,you,PP,
mean,mean,VBP,
to,to,TO,
tell,tell,VB,
me,me,PP,
